UNITID,YEAR,INSTNM,ADDR,CITY,STABBR,LONGITUD,LATITUDE,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR75,SATMT25,SATMT75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75 ,TUITION2,TUITION3
100654,2016,Alabama A & M University,4900 Meridian Street,Normal,AL,-86.568502,34.783367999999996,217.0,14.0,1433.0,91.0,380.0,470.0,370.0,470.0,16.0,19.0,14.0,20.0,15.0,18.0,8130,16260
100654,2017,Alabama A & M University,4900 Meridian Street,Normal,AL,-86.568502,34.783367999999996,21.0,1.0,1270.0,88.0,365.0,485.0,360.0,495.0,16.0,19.0,14.0,20.0,15.0,18.0,8379,16758
100654,2018,Alabama A & M University,4900 Meridian Street,Normal,AL,-86.568502,34.783367999999996,506.0,33.0,1142.0,75.0,430.0,520.0,420.0,510.0,16.0,19.0,14.0,20.0,15.0,18.0,8610,17220
100654,2019,Alabama A & M University,4900 Meridian Street,Normal,AL,-86.568502,34.783367999999996,592.0,35.0,1251.0,73.0,430.0,510.0,410.0,500.0,15.0,19.0,14.0,20.0,15.0,18.0,8610,17220
100663,2016,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,-86.799345,33.505697,85.0,4.0,1849.0,92.0,480.0,640.0,490.0,660.0,21.0,28.0,22.0,30.0,19.0,26.0,8040,18368
100663,2017,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,-86.799345,33.505697,15.0,1.0,2093.0,94.0,440.0,630.0,550.0,740.0,21.0,28.0,22.0,31.0,21.0,26.0,8328,19032
100663,2018,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,-86.799345,33.505697,7.0,1.0,2253.0,98.0,490.0,620.0,490.0,620.0,21.0,29.0,22.0,31.0,19.0,26.0,8568,19704
100663,2019,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,-86.799345,33.505697,312.0,13.0,2159.0,92.0,560.0,680.0,530.0,685.0,22.0,29.0,22.0,32.0,20.0,27.0,8568,20400
100706,2016,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,-86.640449,34.724557,166.0,14.0,1152.0,95.0,520.0,660.0,540.0,680.0,25.0,31.0,24.0,33.0,23.0,29.0,8996,19766
100706,2017,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,-86.640449,34.724557,29.0,2.0,1292.0,96.0,550.0,660.0,530.0,670.0,25.0,31.0,25.0,33.0,24.0,29.0,9356,20556
100706,2018,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,-86.640449,34.724557,8.0,1.0,1331.0,93.0,560.0,700.0,450.0,680.0,25.0,31.0,25.0,34.0,24.0,30.0,9730,21378
100706,2019,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,-86.640449,34.724557,108.0,7.0,1380.0,92.0,617.0,720.0,620.0,770.0,25.0,31.0,25.0,34.0,24.0,30.0,9730,22126
100724,2016,Alabama State University,915 S Jackson Street,Montgomery,AL,-86.295677,32.364317,178.0,15.0,1042.0,89.0,370.0,460.0,360.0,460.0,15.0,19.0,14.0,19.0,15.0,17.0,6936,13872
100724,2017,Alabama State University,915 S Jackson Street,Montgomery,AL,-86.295677,32.364317,173.0,18.0,826.0,85.0,380.0,485.0,375.0,481.0,16.0,20.0,15.0,19.0,14.0,19.0,8328,16656
100724,2018,Alabama State University,915 S Jackson Street,Montgomery,AL,-86.295677,32.364317,244.0,24.0,843.0,81.0,440.0,520.0,420.0,510.0,16.0,20.0,14.0,20.0,15.0,18.0,8328,16656
100724,2019,Alabama State University,915 S Jackson Street,Montgomery,AL,-86.295677,32.364317,275.0,27.0,819.0,80.0,450.0,510.0,430.0,510.0,15.0,19.0,14.0,20.0,15.0,17.0,8328,16656
100751,2016,The University of Alabama,739 University Blvd,Tuscaloosa,AL,-87.545766,33.2144,1459.0,19.0,6062.0,80.0,490.0,610.0,490.0,620.0,23.0,31.0,23.0,33.0,22.0,29.0,10470,26950
100751,2017,The University of Alabama,739 University Blvd,Tuscaloosa,AL,-87.545978,33.211875,1397.0,19.0,5981.0,81.0,530.0,640.0,520.0,640.0,23.0,32.0,23.0,33.0,21.0,29.0,10780,28100
100751,2018,The University of Alabama,739 University Blvd,Tuscaloosa,AL,-87.545978,33.211875,1669.0,25.0,4873.0,73.0,540.0,640.0,520.0,640.0,23.0,31.0,23.0,34.0,21.0,29.0,10780,29230
100751,2019,The University of Alabama,739 University Blvd,Tuscaloosa,AL,-87.545978,33.211875,1808.0,27.0,4892.0,72.0,550.0,660.0,530.0,680.0,23.0,31.0,23.0,33.0,21.0,29.0,10780,30250
100830,2016,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,-86.177351,32.369939,11.0,2.0,547.0,92.0,435.0,495.0,445.0,495.0,19.0,24.0,19.0,24.0,17.0,22.0,8880,19950
100830,2017,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,-86.177544,32.36736,26.0,4.0,563.0,84.0,490.0,565.0,475.0,545.0,19.0,24.0,19.0,24.0,17.0,22.0,7320,16440
100830,2018,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,-86.177544,32.36736,48.0,6.0,646.0,85.0,510.0,570.0,480.0,570.0,19.0,23.0,18.0,24.0,16.0,22.0,7536,16944
100830,2019,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,-86.177544,32.36736,39.0,6.0,530.0,85.0,470.0,570.0,450.0,580.0,19.0,23.0,19.0,24.0,16.0,22.0,7752,17424
100858,2016,Auburn University, ,Auburn,AL,-85.488258,32.599378,552.0,12.0,3930.0,87.0,530.0,620.0,530.0,640.0,24.0,30.0,25.0,32.0,23.0,28.0,9072,27216
100858,2017,Auburn University, ,Auburn,AL,-85.488258,32.599378,572.0,12.0,4215.0,87.0,570.0,650.0,560.0,660.0,24.0,30.0,24.0,32.0,23.0,28.0,9336,28008
100858,2018,Auburn University, ,Auburn,AL,-85.488258,32.599378,719.0,15.0,4029.0,84.0,580.0,650.0,570.0,660.0,25.0,30.0,25.0,33.0,23.0,28.0,9624,28872
100858,2019,Auburn University, ,Auburn,AL,-85.488258,32.599378,866.0,18.0,3911.0,81.0,580.0,650.0,570.0,670.0,25.0,31.0,25.0,33.0,23.0,28.0,9816,29448
100937,2016,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,-86.85055200000001,33.513774,69.0,21.0,297.0,91.0,500.0,610.0,490.0,570.0,23.0,28.0,22.0,29.0,22.0,26.0,33200,33200
100937,2017,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,-86.85055200000001,33.513774,65.0,18.0,296.0,83.0,520.0,630.0,510.0,630.0,23.0,29.0,23.0,31.0,22.0,27.0,34544,34544
100937,2018,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,-86.85055200000001,33.513774,46.0,14.0,257.0,78.0,520.0,620.0,520.0,600.0,23.0,29.0,22.0,31.0,20.0,26.0,16402,16402
100937,2019,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,-86.85055200000001,33.513774,58.0,17.0,246.0,74.0,570.0,660.0,540.0,650.0,22.0,29.0,22.0,30.0,20.0,27.0,16993,16993
101189,2016,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,-86.21641,32.384181,18.0,6.0,263.0,94.0,430.0,570.0,450.0,550.0,18.0,23.0,16.0,24.0,16.0,22.0,18320,18320
101189,2017,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,-86.21641,32.384181,36.0,11.0,266.0,80.0,460.0,590.0,460.0,560.0,18.0,22.0,17.0,23.0,16.0,22.0,19160,19160
101189,2018,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,-86.21641,32.384181,24.0,9.0,222.0,81.0,490.0,570.0,530.0,620.0,18.0,23.0,16.0,27.0,16.0,24.0,19880,19880
101189,2019,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,-86.21641,32.384181,18.0,7.0,222.0,80.0,500.0,590.0,500.0,570.0,18.0,23.0,17.0,23.0,16.0,22.0,20480,20480
101435,2016,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,-86.285313,32.350939000000004,43.0,16.0,263.0,95.0,420.0,525.0,425.0,525.0,19.0,24.0,18.0,24.0,17.0,23.0,23237,23237
101435,2017,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,-86.284366,32.351034000000006,63.0,21.0,269.0,92.0,490.0,595.0,500.0,580.0,19.0,24.0,18.0,24.0,17.0,24.0,23639,23639
101435,2018,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,-86.284366,32.351034000000006,44.0,18.0,231.0,93.0,500.0,580.0,498.0,570.0,19.0,24.0,18.0,24.0,17.0,23.0,24595,24595
101435,2019,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,-86.284366,32.351034000000006,47.0,18.0,228.0,89.0,530.0,595.0,505.0,585.0,17.0,24.0,19.0,24.0,16.0,23.0,25004,25004
101480,2016,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,-85.765321,33.822938,145.0,11.0,1229.0,93.0,430.0,570.0,440.0,550.0,20.0,26.0,20.0,28.0,18.0,25.0,9000,18000
101480,2017,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,-85.765321,33.822938,26.0,2.0,1037.0,90.0,420.0,530.0,420.0,520.0,19.0,26.0,20.0,27.0,18.0,25.0,9270,18540
101480,2018,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,-85.765321,33.822938,2.0,1.0,953.0,89.0,440.0,450.0,470.0,480.0,19.0,26.0,20.0,27.0,17.0,25.0,9720,19440
101480,2019,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,-85.765321,33.822938,18.0,1.0,1327.0,89.0,480.0,590.0,450.0,570.0,18.0,24.0,17.0,25.0,16.0,23.0,9720,19440
101541,2016,Judson College,302 Bibb St,Marion,AL,-87.31612700000001,32.630526,3.0,3.0,85.0,99.0,580.0,581.0,530.0,531.0,19.0,24.0,18.0,25.0,16.0,23.0,16248,16248
101541,2018,Judson College,302 Bibb St,Marion,AL,-87.315206,32.629253000000006,6.0,9.0,62.0,91.0,550.0,585.0,480.0,580.0,17.0,23.0,16.0,25.0,16.0,21.0,17240,17240
101587,2016,University of West Alabama,Station One,Livingston,AL,-88.186329,32.588132,12.0,3.0,366.0,97.0,440.0,520.0,420.0,500.0,18.0,23.0,17.0,23.0,16.0,22.0,7286,14572
101587,2017,University of West Alabama,Station One,Livingston,AL,-88.186329,32.588132,19.0,4.0,442.0,96.0,440.0,520.0,420.0,500.0,18.0,23.0,17.0,24.0,16.0,22.0,7614,15228
101587,2018,University of West Alabama,Station One,Livingston,AL,-88.186329,32.588132,21.0,5.0,394.0,80.0,440.0,520.0,420.0,500.0,18.0,23.0,18.0,24.0,16.0,22.0,8450,16900
101587,2019,University of West Alabama,Station One,Livingston,AL,-88.186329,32.588132,25.0,8.0,297.0,92.0,440.0,520.0,420.0,500.0,18.0,22.0,16.0,21.0,18.0,24.0,9100,18200
101648,2016,Marion Military Institute,1101 Washington St,Marion,AL,-87.322041,32.623734000000006,121.0,44.0,230.0,84.0,480.0,600.0,500.0,610.0,19.0,26.0,19.0,26.0,17.0,26.0,6000,12000
101648,2017,Marion Military Institute,1101 Washington St,Marion,AL,-87.322041,32.623734000000006,92.0,32.0,234.0,83.0,530.0,630.0,540.0,640.0,19.0,26.0,18.0,25.0,17.0,26.0,6000,12000
101648,2018,Marion Military Institute,1101 Washington St,Marion,AL,-87.322041,32.623734000000006,112.0,48.0,162.0,69.0,540.0,640.0,550.0,640.0,19.0,26.0,19.0,26.0,17.0,26.0,6000,12000
101648,2019,Marion Military Institute,1101 Washington St,Marion,AL,-87.322041,32.623734000000006,112.0,42.0,188.0,70.0,560.0,650.0,540.0,650.0,18.0,26.0,17.0,26.0,17.0,26.0,6000,12000
