,national_rank,UNITID,INSTNM,ADDR,CITY,STABBR,LONGITUD,LATITUDE,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,TUITION2,TUITION3,ADMRM,ADMRW,SATVR25,SATVR75,SATMT25,SATMT75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75
0,1.0,166027,Harvard University,Massachusetts Hall,Cambridge,MA,-71.118313,42.374471,2,2,1,3,1,3,1,3,3,47730,47730,0.053166299751054316,0.05168631733884401,711.6666666666665,790.0,725.0,800.0,32.333333333333336,35.0,33.5,35.5,31.16666666666667,35.166666666666664
1,2.0,166683,Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,-71.093226,42.359243,2,3,1,2,1,3,1,2,3,53450,53450,0.05445762983652589,0.11913625515577665,705.0,775.0,763.3333333333335,800.0,33.333333333333336,35.333333333333336,33.666666666666664,35.5,34.0,36.0
2,3.0,243744,Stanford University,450 Serra Mall,Stanford,CA,-122.167359,37.429434,2,3,1,2,1,3,1,2,3,52857,52857,0.0442948293037067,0.05064351890810995,690.0,773.3333333333335,710.0,795.0,31.5,34.833333333333336,32.833333333333336,35.5,30.0,35.0
3,4.0,110404,California Institute of Technology,1200 E California Blvd,Pasadena,CA,-118.125878,34.137349,2,2,1,1,1,3,1,1,3,52506,52506,0.05290344852986483,0.1442978231580835,738.3333333333335,788.3333333333335,778.3333333333335,800.0,34.333333333333336,35.5,34.333333333333336,35.666666666666664,34.833333333333336,36.0
4,5.0,186131,Princeton University,1 Nassau Hall,Princeton,NJ,-74.65936500000002,40.348732,2,2,1,2,1,2,1,1,3,51870,51870,0.062090256224019424,0.0673799452726861,700.0,783.3333333333335,720.0,798.3333333333335,31.83333333333333,35.0,33.0,35.333333333333336,30.5,35.0
5,6.0,130794,Yale University,Woodbridge Hall,New Haven,CT,-72.926688,41.311158,2,2,1,3,1,2,1,1,3,55500,55500,0.06992916350352557,0.059774677624911475,718.3333333333335,786.6666666666665,721.6666666666665,800.0,32.0,35.0,34.25,35.75,30.75,35.0
6,9.0,144050,University of Chicago,5801 S Ellis Ave,Chicago,IL,-87.59953900000002,41.787994,5,5,1,1,1,5,5,1,3,57642,57642,0.08487734194197054,0.07342655703610394,723.3333333333335,786.6666666666665,739.1666666666665,800.0,32.333333333333336,35.0,33.5,35.333333333333336,30.66666666666667,35.0
7,10.0,190415,Cornell University,300 Day Hall,Ithaca,NY,-76.48308399999998,42.4472,5,5,1,5,1,5,1,1,2,56550,56550,0.11228260819297554,0.14803676929664175,666.6666666666666,751.6666666666665,695.0,785.0,31.0,34.166666666666664,32.25,35.25,30.0,35.0
8,11.0,215062,University of Pennsylvania,34th & Spruce Street,Philadelphia,PA,-75.19391,39.950929,1,3,1,2,1,3,1,2,3,51156,51156,0.08629561394591267,0.09823863480420653,686.6666666666666,765.0,715.0,791.6666666666665,31.83333333333333,34.666666666666664,32.833333333333336,35.333333333333336,30.5,34.833333333333336
9,12.0,162928,Johns Hopkins University,3400 N Charles St,Baltimore,MD,-76.621595,39.328977,1,3,1,2,1,3,1,1,3,55350,55350,0.1320500463041393,0.12885663863769914,695.0,758.3333333333335,718.3333333333335,791.6666666666665,32.333333333333336,34.5,32.833333333333336,35.333333333333336,30.5,35.0
10,20.0,198419,Duke University,103 Allen Bldg,Durham,NC,-78.937624,36.001135,2,2,1,1,1,3,1,2,3,55880,55880,0.10179753835181926,0.09861919095454164,686.6666666666666,763.3333333333335,716.6666666666665,795.0,31.66666666666667,34.5,31.66666666666667,35.166666666666664,31.16666666666667,35.0
11,23.0,147767,Northwestern University,633 Clark St,Evanston,IL,-87.679858,42.050356,1,2,1,1,1,3,1,1,3,56232,56232,0.10714367006532777,0.10485846155212586,695.0,763.3333333333335,718.3333333333335,793.3333333333335,32.0,34.333333333333336,32.75,34.75,31.0,34.6
12,25.0,199120,University of North Carolina at Chapel Hill,103 South Bldg Cb 9100,Chapel Hill,NC,-79.050969,35.911769,1,2,1,1,1,3,1,1,3,7019,34198,0.2594009116326296,0.2596427219879754,620.0,713.3333333333335,630.0,738.3333333333335,28.16666666666667,32.833333333333336,28.16666666666667,34.333333333333336,26.83333333333333,32.0
13,27.0,230764,University of Utah,"201 Presidents Circle, ROOM 201",Salt Lake City,UT,-111.846044,40.762484,1,3,1,5,3,3,1,1,3,7412,26017,0.7110469394690037,0.7369758558371632,537.1666666666666,656.6666666666666,540.0,671.6666666666666,21.5,28.33333333333333,21.33333333333333,29.16666666666667,20.83333333333333,27.5
14,31.0,211440,Carnegie Mellon University,5000 Forbes Avenue,Pittsburgh,PA,-79.94199300000002,40.44357,1,5,1,1,1,1,1,1,3,55816,55816,0.16494981646052978,0.2765184397471197,675.0,750.0,728.3333333333335,800.0,31.66666666666667,34.5,31.66666666666667,35.0,31.5,35.166666666666664
15,32.0,123961,University of Southern California,University Park,Los Angeles,CA,-118.284169,34.021281,1,3,1,1,1,1,1,1,3,57256,57256,0.15244685367307534,0.15620217220646718,641.6666666666666,731.6666666666665,665.0,775.0,30.0,33.5,30.66666666666667,34.666666666666664,28.0,34.0
16,34.0,126614,University of Colorado Boulder,Regent Drive at Broadway,Boulder,CO,-105.270823,40.008781,1,2,1,1,2,3,1,1,3,10728,34930,0.7774079807988543,0.8252807728267171,551.6666666666666,651.6666666666666,555.0,675.0,24.66666666666667,30.33333333333333,23.83333333333333,31.16666666666667,24.0,29.0
17,37.0,104179,University of Arizona,1401 E University,Tucson,AZ,-110.950815,32.232671999999994,1,3,1,2,3,2,5,5,3,10990,33273,0.7903927048929046,0.8148123661124141,550.0,660.0,540.0,675.0,21.0,28.5,20.0,28.0,20.0,27.5
18,39.0,195030,University of Rochester,Wilson Blvd. - Wallis Hall,Rochester,NY,-77.631202,43.126397,5,5,1,1,1,5,5,1,3,55040,55040,0.3224318422325787,0.3409768555042552,640.0,716.6666666666665,670.0,780.0,29.66666666666667,33.666666666666664,29.33333333333333,34.666666666666664,27.66666666666667,33.666666666666664
19,40.0,134130,University of Florida,Tigert Hall,Gainesville,FL,-82.347911,29.646290000000004,1,3,1,5,3,3,1,3,3,4477,25694,0.3989481264805946,0.4488531314085533,608.3333333333334,693.3333333333335,616.6666666666666,705.0,27.16666666666667,31.66666666666667,25.83333333333333,33.166666666666664,25.66666666666667,30.33333333333333
20,41.0,227757,Rice University,6100 S Main St,Houston,TX,-95.402035,29.717897,5,5,1,1,1,5,1,1,3,48330,48330,0.13435007393070614,0.1392832876744709,700.0,766.6666666666665,733.3333333333335,798.3333333333335,32.333333333333336,34.833333333333336,33.166666666666664,35.333333333333336,30.66666666666667,35.166666666666664
21,42.0,182670,Dartmouth College,207 Parkhurst Hall,Hanover,NH,-72.289949,43.704115,1,1,1,2,1,3,1,1,3,55605,55605,0.10236818164023703,0.09848598479057208,688.3333333333335,775.0,700.0,783.3333333333335,30.5,34.333333333333336,32.25,35.5,29.25,35.0
22,43.0,221999,Vanderbilt University,2101 West End Avenue,Nashville,TN,-86.80336899999998,36.14659,1,2,1,1,2,1,1,1,3,50800,50800,0.12237941659757748,0.09750640452793104,706.6666666666665,775.0,731.6666666666665,800.0,32.333333333333336,34.833333333333336,33.166666666666664,35.166666666666664,30.33333333333333,35.0
23,44.0,164988,Boston University,One Silber Way,Boston,MA,-71.10794200000002,42.351118,1,1,1,1,1,3,1,1,3,54720,54720,0.2584826767000703,0.28029320586416445,613.3333333333334,700.0,650.0,755.0,28.5,32.166666666666664,28.5,33.666666666666664,26.83333333333333,32.333333333333336
24,46.0,217156,Brown University,One Prospect Street,Providence,RI,-71.40385,41.82617,2,2,1,1,1,3,1,2,3,57112,57112,0.10066781683159004,0.07377769820725248,687.5,773.3333333333335,701.6666666666665,788.3333333333335,31.33333333333333,34.5,32.333333333333336,35.333333333333336,29.33333333333333,34.666666666666664
25,49.0,186380,Rutgers University-New Brunswick,83 Somerset St,New Brunswick,NJ,-74.446251,40.498769,1,5,1,1,3,3,1,1,3,12230,29012,0.5905163480475143,0.5929568336950733,558.3333333333334,661.6666666666666,591.6666666666666,716.6666666666665,25.0,31.5,24.0,34.0,25.5,32.0
26,51.0,201645,Case Western Reserve University,10900 Euclid Ave,Cleveland,OH,-81.609596,41.507419,1,1,1,1,1,3,1,1,3,50450,50450,0.3209771681498512,0.3465693758918971,628.3333333333334,723.3333333333335,685.0,776.6666666666665,29.83333333333333,33.5,30.0,34.666666666666664,29.0,34.0
27,53.0,139658,Emory University,201 Dowman Drive,Atlanta,GA,-84.325512,33.790183,2,5,1,2,1,3,1,2,3,53070,53070,0.2327535947115338,0.2112559659623463,646.6666666666666,728.3333333333335,670.0,775.0,30.0,33.166666666666664,29.0,33.0,28.0,33.0
28,54.0,196097,Stony Brook University,310 Administration Building,Stony Brook,NY,-73.12046,40.91476,1,2,1,1,1,3,1,1,3,7070,24740,0.42237797015506656,0.4154797422009305,570.0,668.3333333333334,616.6666666666666,726.6666666666665,26.0,31.0,24.16666666666667,32.0,26.0,31.66666666666667
29,57.0,168342,Williams College,880 Main St,Williamstown,MA,-73.203132,42.712725,5,5,1,2,1,3,1,3,3,56970,56970,0.16526920132509046,0.15104546335967234,690.0,773.3333333333335,681.6666666666666,780.0,31.33333333333333,34.5,32.8,35.4,29.4,34.4
30,59.0,171100,Michigan State University,220 Trowbridge Rd,East Lansing,MI,-84.476111,42.73212,1,2,1,1,2,3,1,1,3,15555,40384,0.671206026134285,0.7226382294938206,498.33333333333326,616.6666666666666,543.3333333333334,673.3333333333334,23.16666666666667,28.5,22.83333333333333,29.66666666666667,23.0,28.0
31,61.0,131496,Georgetown University,37th and O St NW,Washington,DC,-77.073463,38.90880900000001,1,5,1,2,1,2,1,1,3,55440,55440,0.17348472245567134,0.15083921212444032,671.6666666666666,756.6666666666665,671.6666666666666,766.6666666666665,30.33333333333333,34.0,32.0,35.25,28.25,34.0
32,63.0,153658,University of Iowa,101 Jessup Hall,Iowa City,IA,-91.536425,41.661935,1,2,1,1,3,3,1,1,3,8073,30036,0.8001979010545858,0.8527871811090023,515.0,648.3333333333334,553.3333333333334,685.0,22.83333333333333,28.16666666666667,21.83333333333333,29.0,21.83333333333333,28.0
33,66.0,135726,University of Miami,University of Miami,Coral Gables,FL,-80.278662,25.72126,1,2,1,2,1,5,1,1,3,50400,50400,0.3562325432216391,0.3407853132074003,610.0,691.6666666666665,620.0,723.3333333333335,28.33333333333333,32.0,28.33333333333333,34.333333333333336,26.33333333333333,31.66666666666667
34,70.0,225511,University of Houston,212 E. Cullen Building,Houston,TX,-95.343537,29.720393,2,1,1,1,2,3,1,1,3,8219,20747,0.6379464064727005,0.5965557307634162,536.6666666666666,628.3333333333334,548.3333333333334,646.6666666666666,22.5,27.5,21.0,27.16666666666667,22.33333333333333,27.33333333333333
35,72.0,100663,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,-86.799345,33.505697,1,3,1,1,3,3,1,3,3,8568,20400,0.7837506314249393,0.7616658852213173,498.33333333333326,640.0,511.66666666666674,668.8333333333334,21.33333333333333,28.16666666666667,21.83333333333333,30.5,19.5,26.16666666666667
36,74.0,228246,Southern Methodist University,6425 Boaz St,Dallas,TX,-96.783365,32.843612,1,2,1,1,1,2,1,1,3,50200,50200,0.5071380656979466,0.4865658013151371,616.6666666666666,703.3333333333335,635.0,730.0,28.33333333333333,32.166666666666664,28.16666666666667,33.833333333333336,26.66666666666667,31.33333333333333
37,75.0,197708,Yeshiva University,500 W 185th St,New York,NY,-73.929873,40.850605,1,3,1,3,1,3,1,1,3,42200,42200,0.6219217855826947,0.6882878302688047,573.3333333333334,693.3333333333335,558.3333333333334,690.0,23.16666666666667,29.5,23.66666666666667,31.66666666666667,22.66666666666667,28.66666666666667
